Year,Orchard,Variety,Days over 40C,Days over 35C,Total Amount of rain ml since 1 Jan,No of rain days since 1 Jan,Days since last rain <5days from assess,Amt rain in last event<5days from assess,Days since last rain >5days from assess,Amt rain in last event>5days from assess,Total rain Jan mm,No rain days Jan,Total rain Feb mm,No rain days Feb,Rain 1st week Jan,Rain 2nd week  Jan,Rain 3rd week  Jan,Rain 4th week  Jan,Rain within 7 days of assessment,Rain within 10 days of assessment,Total_Trees_Assessed,HR Incidence
2018.19,Century Loxton,Np,13.0,22.0,6.0,2.0,,0.0,7.0,2.2,4.0,1.0,2.0,1.0,0.0,0.0,0.0,,0.0,0.0,107,0.3644859813084112
2018.19,Century Loxton,Peerless,13.0,22.0,6.0,2.0,,0.0,7.0,2.2,4.0,1.0,2.0,1.0,0.0,0.0,0.0,,0.0,0.0,12,0.0
2018.19,Century Loxton,Price,13.0,22.0,6.0,2.0,,0.0,7.0,2.2,4.0,1.0,2.0,1.0,0.0,0.0,0.0,,0.0,0.0,4,0.0
2018.19,Chatfield,Carmel,18.0,32.0,0.0,0.0,,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0
2018.19,Chatfield,Monterey,18.0,32.0,0.0,0.0,,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0
2018.19,Chatfield,Np,18.0,32.0,0.0,0.0,,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0.0
2018.19,Chatfield,Price,18.0,32.0,0.0,0.0,,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0
2018.19,Cmv Lp,Carmel,10.0,19.0,3.0,3.0,3.0,2.2,9.0,0.4,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.6,1.2,1.6,70,0.15714285714285714
2018.19,Cmv Lp,Monterey,10.0,19.0,3.0,3.0,3.0,2.2,9.0,0.4,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.6,1.2,1.6,26,0.07692307692307693
2018.19,Cmv Lp,Np,10.0,19.0,3.0,3.0,3.0,2.2,9.0,0.4,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.6,1.2,1.6,137,0.40875912408759124
2018.19,Cmv Lp,Peerless,10.0,19.0,3.0,3.0,3.0,2.2,9.0,0.4,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.6,1.2,1.6,21,0.19047619047619047
2018.19,Domenic Cavallaro,Carina,9.0,13.0,0.0,0.0,,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.2,2.2,2.6,6,0.0
2018.19,Domenic Cavallaro,Keane,9.0,13.0,0.0,0.0,,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.2,2.2,2.6,8,0.125
2018.19,Domenic Cavallaro,Np,9.0,13.0,0.0,0.0,,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.2,2.2,2.6,32,0.8125
2018.19,Domenic Cavallaro,Peerless,9.0,13.0,0.0,0.0,,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.2,2.2,2.6,7,0.0
2018.19,Egan Rd,Carmel,16.0,29.0,13.0,6.0,1.0,2.6,8.0,0.9,10.0,4.0,4.0,2.0,0.0,1.4,5.6,0.0,3.5,6.3,7,0.0
2018.19,Egan Rd,Independence,16.0,29.0,13.0,6.0,1.0,2.6,8.0,0.9,10.0,4.0,4.0,2.0,0.0,1.4,5.6,0.0,3.5,6.3,8,0.0
2018.19,Egan Rd,Monterey,16.0,29.0,13.0,6.0,1.0,2.6,8.0,0.9,10.0,4.0,4.0,2.0,0.0,1.4,5.6,0.0,3.5,6.3,1,1.0
2018.19,Egan Rd,Np,16.0,29.0,13.0,6.0,1.0,2.6,8.0,0.9,10.0,4.0,4.0,2.0,0.0,1.4,5.6,0.0,3.5,6.3,9,0.7777777777777778
2018.19,Egan Rd,Peerless,16.0,29.0,13.0,6.0,1.0,2.6,8.0,0.9,10.0,4.0,4.0,2.0,0.0,1.4,5.6,0.0,3.5,6.3,2,0.5
2018.19,Egan Rd,Price,16.0,29.0,13.0,6.0,1.0,2.6,8.0,0.9,10.0,4.0,4.0,2.0,0.0,1.4,5.6,0.0,3.5,6.3,2,0.5
2018.19,Freeman Farming,Carmel,11.0,20.0,2.0,2.0,4.0,2.4,4.0,2.4,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.4,2.4,2.4,36,0.19444444444444445
2018.19,Freeman Farming,Ne Plus,11.0,20.0,2.0,2.0,4.0,2.4,4.0,2.4,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.4,2.4,2.4,11,0.09090909090909091
2018.19,Freeman Farming,Np,11.0,20.0,2.0,2.0,4.0,2.4,4.0,2.4,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.4,2.4,2.4,27,0.18518518518518517
2018.19,Gary Thorpe,Carmel,12.0,22.0,10.0,3.0,5.0,3.6,16.0,2.6,6.0,1.0,4.0,2.0,0.0,0.0,0.0,,0.0,0.0,13,0.07692307692307693
2018.19,Gary Thorpe,Np,12.0,22.0,10.0,3.0,5.0,3.6,16.0,2.6,6.0,1.0,4.0,2.0,0.0,0.0,0.0,,0.0,0.0,33,0.48484848484848486
2018.19,Gary Thorpe,Peerless,12.0,22.0,10.0,3.0,5.0,3.6,16.0,2.6,6.0,1.0,4.0,2.0,0.0,0.0,0.0,,0.0,0.0,11,0.0
2018.19,Gone Nuts,Carmel,12.0,23.0,4.0,3.0,,0.0,6.0,1.2,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.6,12,0.16666666666666666
2018.19,Gone Nuts,Fritz,12.0,23.0,4.0,3.0,,0.0,6.0,1.2,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.6,11,0.18181818181818182
2018.19,Gone Nuts,Ne Plus,12.0,23.0,4.0,3.0,,0.0,6.0,1.2,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.6,5,0.0
2018.19,Gone Nuts,Np,12.0,23.0,4.0,3.0,,0.0,6.0,1.2,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.6,30,0.03333333333333333
2018.19,Jubilee,Carmel,5.0,9.0,0.0,0.0,,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,4.4,4.4,25,0.16
2018.19,Jubilee,Monterey,5.0,9.0,0.0,0.0,,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,4.4,4.4,36,0.0
2018.19,Jubilee,Ne Plus,5.0,9.0,0.0,0.0,,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,4.4,4.4,5,0.4
2018.19,Jubilee,Np,5.0,9.0,0.0,0.0,,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,4.4,4.4,77,0.2597402597402597
2018.19,Jubilee,Vella,5.0,9.0,0.0,0.0,,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,4.4,4.4,67,0.0
2018.19,Jubilee,Wood Colony,5.0,9.0,0.0,0.0,,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,4.4,4.4,6,0.0
2018.19,Lake Powell,Carmel,11.0,26.0,10.0,7.0,5.0,0.2,8.0,2.0,8.0,3.0,2.0,4.0,0.0,0.0,1.2,2.2,0.8,2.0,35,0.05714285714285714
2018.19,Lake Powell,Np,11.0,26.0,10.0,7.0,5.0,0.2,8.0,2.0,8.0,3.0,2.0,4.0,0.0,0.0,1.2,2.2,0.8,2.0,42,0.9761904761904762
2018.19,Lake Powell,Price,11.0,26.0,10.0,7.0,5.0,0.2,8.0,2.0,8.0,3.0,2.0,4.0,0.0,0.0,1.2,2.2,0.8,2.0,4,0.75
2018.19,Margooya,Carmel,10.0,24.0,13.0,7.0,5.0,6.6,8.0,10.0,3.0,3.0,10.0,4.0,0.0,0.0,1.2,1.6,9.6,10.0,21,0.2857142857142857
2018.19,Margooya,Monterey,10.0,24.0,13.0,7.0,5.0,6.6,8.0,10.0,3.0,3.0,10.0,4.0,0.0,0.0,1.2,1.6,9.6,10.0,1,0.0
2018.19,Margooya,Np,10.0,24.0,13.0,7.0,5.0,6.6,8.0,10.0,3.0,3.0,10.0,4.0,0.0,0.0,1.2,1.6,9.6,10.0,27,0.9259259259259259
2018.19,Margooya,Price,10.0,24.0,13.0,7.0,5.0,6.6,8.0,10.0,3.0,3.0,10.0,4.0,0.0,0.0,1.2,1.6,9.6,10.0,8,0.75
2018.19,Mclaren Dr,Carmel,5.0,10.0,1.0,1.0,,0.0,16.0,0.8,1.0,1.0,0.0,0.0,0.8,0.0,0.0,,0.0,0.0,5,0.0
2018.19,Mclaren Dr,Monterey,5.0,10.0,1.0,1.0,,0.0,16.0,0.8,1.0,1.0,0.0,0.0,0.8,0.0,0.0,,0.0,0.0,5,0.0
2018.19,Mclaren Dr,Np,5.0,10.0,1.0,1.0,,0.0,16.0,0.8,1.0,1.0,0.0,0.0,0.8,0.0,0.0,,0.0,0.0,21,0.23809523809523808
2018.19,Mclaren Dr,Price,5.0,10.0,1.0,1.0,,0.0,16.0,0.8,1.0,1.0,0.0,0.0,0.8,0.0,0.0,,0.0,0.0,3,0.0
2018.19,Meilman,Carmel,,,,,,,,,,,,,,,,,,,18,0.0
2018.19,Meilman,Monterey,,,,,,,,,,,,,,,,,,,13,0.0
2018.19,Meilman,Np,,,,,,,,,,,,,,,,,,,31,0.0
2018.19,Mullroo,Carmel,8.0,14.0,1.0,1.0,,0.0,21.0,0.6,1.0,1.0,0.0,0.0,0.6,0.0,0.0,,0.0,0.0,14,0.0
2018.19,Mullroo,Monterey,8.0,14.0,1.0,1.0,,0.0,21.0,0.6,1.0,1.0,0.0,0.0,0.6,0.0,0.0,,0.0,0.0,21,0.0
2018.19,Mullroo,Np,8.0,14.0,1.0,1.0,,0.0,21.0,0.6,1.0,1.0,0.0,0.0,0.6,0.0,0.0,,0.0,0.0,43,0.27906976744186046
2018.19,Mullroo,Price,8.0,14.0,1.0,1.0,,0.0,21.0,0.6,1.0,1.0,0.0,0.0,0.6,0.0,0.0,,0.0,0.0,2,0.0
2018.19,Nick Pezzaniti,Fritz,6.0,8.0,0.0,0.0,,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,2.4,2.4,2.4,8,0.5
2018.19,Nick Pezzaniti,Keane,6.0,8.0,0.0,0.0,,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,2.4,2.4,2.4,31,0.0
2018.19,Nick Pezzaniti,Np,6.0,8.0,0.0,0.0,,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,2.4,2.4,2.4,77,0.2077922077922078
2018.19,Nick Pezzaniti,Price,6.0,8.0,0.0,0.0,,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,2.4,2.4,2.4,7,0.0
2018.19,Nutwood,Carmel,10.0,19.0,3.0,3.0,2.0,2.2,8.0,2.6,3.0,3.0,0.0,0.0,0.0,0.0,0.4,2.2,2.2,2.6,18,0.0
2018.19,Nutwood,Monterey,10.0,19.0,3.0,3.0,2.0,2.2,8.0,2.6,3.0,3.0,0.0,0.0,0.0,0.0,0.4,2.2,2.2,2.6,1,0.0
2018.19,Nutwood,Np,10.0,19.0,3.0,3.0,2.0,2.2,8.0,2.6,3.0,3.0,0.0,0.0,0.0,0.0,0.4,2.2,2.2,2.6,36,0.7222222222222222
2018.19,Nutwood,Peerless,10.0,19.0,3.0,3.0,2.0,2.2,8.0,2.6,3.0,3.0,0.0,0.0,0.0,0.0,0.4,2.2,2.2,2.6,1,0.0
2018.19,Nutwood,Price,10.0,19.0,3.0,3.0,2.0,2.2,8.0,2.6,3.0,3.0,0.0,0.0,0.0,0.0,0.4,2.2,2.2,2.6,4,0.25
2018.19,Nutwood,Wood Colony,10.0,19.0,3.0,3.0,2.0,2.2,8.0,2.6,3.0,3.0,0.0,0.0,0.0,0.0,0.4,2.2,2.2,2.6,3,0.0
2018.19,Outback,Carmel,8.0,14.0,3.0,2.0,,0.0,13.0,1.6,3.0,2.0,0.0,0.0,1.4,1.6,0.0,,0.0,0.0,16,0.0
2018.19,Outback,Fritz,8.0,14.0,3.0,2.0,,0.0,13.0,1.6,3.0,2.0,0.0,0.0,1.4,1.6,0.0,,0.0,0.0,5,0.0
2018.19,Outback,Np,8.0,14.0,3.0,2.0,,0.0,13.0,1.6,3.0,2.0,0.0,0.0,1.4,1.6,0.0,,0.0,0.0,18,0.1111111111111111
2018.19,Outback,Wood Colony,8.0,14.0,3.0,2.0,,0.0,13.0,1.6,3.0,2.0,0.0,0.0,1.4,1.6,0.0,,0.0,0.0,3,0.0
2018.19,Vince Ruggiero,Johnson,9.0,13.0,2.0,4.0,5.0,1.0,9.0,0.6,0.0,0.0,2.0,4.0,0.0,0.0,0.0,4.2,2.2,2.2,34,0.4411764705882353
2018.19,Vince Ruggiero,Np,9.0,13.0,2.0,4.0,5.0,1.0,9.0,0.6,0.0,0.0,2.0,4.0,0.0,0.0,0.0,4.2,2.2,2.2,53,0.7169811320754716
2018.19,Vince Ruggiero,Wild Type,9.0,13.0,2.0,4.0,5.0,1.0,9.0,0.6,0.0,0.0,2.0,4.0,0.0,0.0,0.0,4.2,2.2,2.2,55,0.3090909090909091
2018.19,Walker Flat Almonds,Carina,2.0,5.0,0.0,0.0,,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0
2018.19,Walker Flat Almonds,Carmel,2.0,5.0,0.0,0.0,,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0.04
2018.19,Walker Flat Almonds,Maxima,2.0,5.0,0.0,0.0,,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.16666666666666666
2018.19,Walker Flat Almonds,Np,2.0,5.0,0.0,0.0,,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82,0.07317073170731707
2018.19,Walker Flat Almonds,Price,2.0,5.0,0.0,0.0,,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0.09523809523809523
2018.19,Wemen,Carmel,6.0,16.0,0.0,1.0,,0.0,10.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.4,1.6,0.0,0.4,6,0.0
2018.19,Wemen,Np,6.0,16.0,0.0,1.0,,0.0,10.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.4,1.6,0.0,0.4,12,0.6666666666666666
2018.19,Wemen,Price,6.0,16.0,0.0,1.0,,0.0,10.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.4,1.6,0.0,0.4,5,0.2
2018.19,Yilgah,Carmel,20.0,30.0,14.0,3.0,2.0,7.0,11.0,3.0,7.0,2.0,7.0,1.0,0.0,0.0,4.0,3.0,7.0,7.0,19,0.05263157894736842
2018.19,Yilgah,Independence,20.0,30.0,14.0,3.0,2.0,7.0,11.0,3.0,7.0,2.0,7.0,1.0,0.0,0.0,4.0,3.0,7.0,7.0,10,0.2
2018.19,Yilgah,Np,20.0,30.0,14.0,3.0,2.0,7.0,11.0,3.0,7.0,2.0,7.0,1.0,0.0,0.0,4.0,3.0,7.0,7.0,18,1.0
2018.19,Yilgah,Price,20.0,30.0,14.0,3.0,2.0,7.0,11.0,3.0,7.0,2.0,7.0,1.0,0.0,0.0,4.0,3.0,7.0,7.0,5,0.2
2019.2,Belvedere,Carmel,6.0,15.0,27.5,3.0,1.0,11.5,19.0,10.0,16.0,2.0,11.5,1.0,0.0,0.0,16.0,0.0,11.5,11.5,11,0.0
2019.2,Belvedere,Monterey,6.0,15.0,27.5,3.0,1.0,11.5,19.0,10.0,16.0,2.0,11.5,1.0,0.0,0.0,16.0,0.0,11.5,11.5,1,0.0
2019.2,Belvedere,Np,6.0,15.0,27.5,3.0,1.0,11.5,19.0,10.0,16.0,2.0,11.5,1.0,0.0,0.0,16.0,0.0,11.5,11.5,23,0.782608695652174
2019.2,Belvedere,Price,6.0,15.0,27.5,3.0,1.0,11.5,19.0,10.0,16.0,2.0,11.5,1.0,0.0,0.0,16.0,0.0,11.5,11.5,5,0.0
2019.2,Bennett,Carmel,3.0,11.0,4.0,4.0,6.0,1.4,6.0,1.4,4.0,4.0,0.0,0.0,0.8,0.0,0.6,2.6,1.4,2.6,10,0.0
2019.2,Bennett,Np,3.0,11.0,4.0,4.0,6.0,1.4,6.0,1.4,4.0,4.0,0.0,0.0,0.8,0.0,0.6,2.6,1.4,2.6,20,0.9
2019.2,Bennett,Price,3.0,11.0,4.0,4.0,6.0,1.4,6.0,1.4,4.0,4.0,0.0,0.0,0.8,0.0,0.6,2.6,1.4,2.6,3,0.0
2019.2,Big River Produce,Carmel,4.0,8.0,23.8,6.0,3.0,11.8,10.0,0.6,12.0,4.0,11.8,2.0,9.6,0.2,2.2,0.0,11.8,11.8,11,0.09090909090909091
2019.2,Big River Produce,Np,4.0,8.0,23.8,6.0,3.0,11.8,10.0,0.6,12.0,4.0,11.8,2.0,9.6,0.2,2.2,0.0,11.8,11.8,11,0.6363636363636364
2019.2,Big River Produce,Price,4.0,8.0,23.8,6.0,3.0,11.8,10.0,0.6,12.0,4.0,11.8,2.0,9.6,0.2,2.2,0.0,11.8,11.8,6,0.5
2019.2,Caernarvon,Carmel,2.0,10.0,16.8,9.0,2.0,2.2,11.0,1.0,14.6,8.0,2.2,1.0,9.8,0.8,3.0,1.0,2.2,2.2,19,0.0
2019.2,Caernarvon,Np,2.0,10.0,16.8,9.0,2.0,2.2,11.0,1.0,14.6,8.0,2.2,1.0,9.8,0.8,3.0,1.0,2.2,2.2,26,1.0
2019.2,Caernarvon,Price,2.0,10.0,16.8,9.0,2.0,2.2,11.0,1.0,14.6,8.0,2.2,1.0,9.8,0.8,3.0,1.0,2.2,2.2,9,0.0
2019.2,Carina,Carmel,2.0,8.0,9.6,7.0,3.0,0.6,14.0,3.8,9.0,6.0,0.6,1.0,2.8,1.0,4.4,0.8,0.6,0.6,9,0.0
2019.2,Carina,Np,2.0,8.0,9.6,7.0,3.0,0.6,14.0,3.8,9.0,6.0,0.6,1.0,2.8,1.0,4.4,0.8,0.6,0.6,21,0.8571428571428571
2019.2,Carina,Price,2.0,8.0,9.6,7.0,3.0,0.6,14.0,3.8,9.0,6.0,0.6,1.0,2.8,1.0,4.4,0.8,0.6,0.6,6,0.0
2019.2,Century Loxton,Carmel,2.0,5.0,14.4,4.0,3.0,1.4,11.0,0.4,14.4,4.0,0.0,0.0,12.6,0.4,1.4,,1.4,1.4,10,0.1
2019.2,Century Loxton,Np,2.0,5.0,14.4,4.0,3.0,1.4,11.0,0.4,14.4,4.0,0.0,0.0,12.6,0.4,1.4,,1.4,1.4,94,0.10638297872340426
2019.2,Century Loxton,Peerless,2.0,5.0,14.4,4.0,3.0,1.4,11.0,0.4,14.4,4.0,0.0,0.0,12.6,0.4,1.4,,1.4,1.4,3,0.0
2019.2,Chatfield,Carmel,2.0,20.0,0.0,0.0,,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,17,0.0
2019.2,Chatfield,Monterey,2.0,20.0,0.0,0.0,,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,5,0.4
2019.2,Chatfield,Np,2.0,20.0,0.0,0.0,,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,23,0.13043478260869565
2019.2,Chatfield,Price,2.0,20.0,0.0,0.0,,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,6,0.0
2019.2,Cmv Lp,Carmel,3.0,6.0,11.4,3.0,9.0,2.0,9.0,2.0,11.4,3.0,0.0,0.0,9.2,0.2,2.0,0.0,0.0,2.0,4,0.5
2019.2,Cmv Lp,Np,3.0,6.0,11.4,3.0,9.0,2.0,9.0,2.0,11.4,3.0,0.0,0.0,9.2,0.2,2.0,0.0,0.0,2.0,132,0.49242424242424243
2019.2,Cmv Lp,Peerless,3.0,6.0,11.4,3.0,9.0,2.0,9.0,2.0,11.4,3.0,0.0,0.0,9.2,0.2,2.0,0.0,0.0,2.0,9,0.3333333333333333
2019.2,Domenic Cavallaro,Carina,4.0,8.0,32.8,9.0,9.0,21.0,8.0,16.8,10.8,5.0,22.0,4.0,2.0,0.8,7.0,1.0,1.8,22.0,6,0.5
2019.2,Domenic Cavallaro,Keane,4.0,8.0,32.8,9.0,9.0,21.0,8.0,16.8,10.8,5.0,22.0,4.0,2.0,0.8,7.0,1.0,1.8,22.0,8,0.75
2019.2,Domenic Cavallaro,Np,4.0,8.0,32.8,9.0,9.0,21.0,8.0,16.8,10.8,5.0,22.0,4.0,2.0,0.8,7.0,1.0,1.8,22.0,32,0.84375
2019.2,Egan Rd,Carmel,6.0,15.0,46.0,3.0,1.0,12.0,19.0,24.0,34.0,2.0,12.0,1.0,0.0,0.0,34.0,0.0,12.0,12.0,7,0.0
2019.2,Egan Rd,Independence,6.0,15.0,46.0,3.0,1.0,12.0,19.0,24.0,34.0,2.0,12.0,1.0,0.0,0.0,34.0,0.0,12.0,12.0,4,0.0
2019.2,Egan Rd,Monterey,6.0,15.0,46.0,3.0,1.0,12.0,19.0,24.0,34.0,2.0,12.0,1.0,0.0,0.0,34.0,0.0,12.0,12.0,1,1.0
2019.2,Egan Rd,Np,6.0,15.0,46.0,3.0,1.0,12.0,19.0,24.0,34.0,2.0,12.0,1.0,0.0,0.0,34.0,0.0,12.0,12.0,9,0.7777777777777778
2019.2,Egan Rd,Peerless,6.0,15.0,46.0,3.0,1.0,12.0,19.0,24.0,34.0,2.0,12.0,1.0,0.0,0.0,34.0,0.0,12.0,12.0,2,0.0
2019.2,Egan Rd,Price,6.0,15.0,46.0,3.0,1.0,12.0,19.0,24.0,34.0,2.0,12.0,1.0,0.0,0.0,34.0,0.0,12.0,12.0,2,1.0
2019.2,Freeman Farming,Carmel,3.0,7.0,11.4,3.0,10.0,2.0,10.0,2.0,11.4,3.0,0.0,0.0,9.2,0.2,2.0,0.0,0.0,2.0,25,0.32
2019.2,Freeman Farming,Ne Plus,3.0,7.0,11.4,3.0,10.0,2.0,10.0,2.0,11.4,3.0,0.0,0.0,9.2,0.2,2.0,0.0,0.0,2.0,7,0.2857142857142857
2019.2,Freeman Farming,Np,3.0,7.0,11.4,3.0,10.0,2.0,10.0,2.0,11.4,3.0,0.0,0.0,9.2,0.2,2.0,0.0,0.0,2.0,25,0.56
2019.2,Gary Thorpe,Carmel,2.0,7.0,29.6,6.0,4.0,17.0,15.0,1.4,12.6,4.0,17.0,2.0,10.4,0.8,1.4,0.0,17.0,17.0,8,0.5
2019.2,Gary Thorpe,Np,2.0,7.0,29.6,6.0,4.0,17.0,15.0,1.4,12.6,4.0,17.0,2.0,10.4,0.8,1.4,0.0,17.0,17.0,25,0.44
2019.2,Gary Thorpe,Peerless,2.0,7.0,29.6,6.0,4.0,17.0,15.0,1.4,12.6,4.0,17.0,2.0,10.4,0.8,1.4,0.0,17.0,17.0,8,0.25
2019.2,Gone Nuts,Carmel,2.0,7.0,12.0,4.0,11.0,1.8,11.0,1.8,12.0,4.0,0.0,0.0,9.8,0.4,1.8,0.0,0.0,0.0,3,0.0
2019.2,Gone Nuts,Fritz,2.0,7.0,12.0,4.0,11.0,1.8,11.0,1.8,12.0,4.0,0.0,0.0,9.8,0.4,1.8,0.0,0.0,0.0,10,0.2
2019.2,Gone Nuts,Ne Plus,2.0,7.0,12.0,4.0,11.0,1.8,11.0,1.8,12.0,4.0,0.0,0.0,9.8,0.4,1.8,0.0,0.0,0.0,4,0.0
